PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2010,40,2627,3142,1677,X,627,400,8473,746485,1838,1.13505,1.10939
2010,41,2953,3522,1779,X,649,444,9347,746230,1875,1.25256,1.24341
2010,42,3044,3641,1898,X,690,411,9684,777397,1907,1.2457,1.25726
2010,43,3226,3822,1754,X,682,420,9904,781234,1929,1.26774,1.25734
2010,44,3451,4397,1981,X,736,455,11020,766753,1947,1.43723,1.43414
2010,45,3927,4679,1956,X,734,511,11807,769982,1940,1.53341,1.51838
2010,46,4416,5322,2327,X,774,497,13336,787038,1921,1.69445,1.61617
2010,47,4598,4145,2043,X,743,550,12079,606527,1938,1.9915,1.84378
2010,48,5045,4978,2440,X,915,619,13997,772016,1964,1.81305,1.72535
2010,49,5060,5867,2511,X,893,627,14958,742606,1936,2.01426,1.87923
2010,50,6300,7194,2847,X,1031,650,18022,704923,1916,2.55659,2.3371
2010,51,7295,7071,3433,X,1262,838,19899,588406,1840,3.38185,3.03533
2010,52,7478,5764,4455,X,1581,1068,20346,592880,1887,3.43172,3.136
2011,1,6584,6342,4455,X,1586,1059,20026,744043,1923,2.69151,2.53336
2011,2,6238,7773,4220,X,1537,953,20721,711908,1921,2.91063,2.91288
2011,3,7247,11243,5095,X,1734,938,26257,751850,1964,3.49232,3.44497
2011,4,8007,15291,5952,X,1794,931,31975,798637,1947,4.0037,4.16185
2011,5,8195,16366,6536,X,1990,1197,34284,772974,1970,4.43534,4.55159
2011,6,8036,16516,6812,X,1996,1096,34456,812230,1961,4.24215,4.46504
2011,7,8172,17493,7257,X,2352,1293,36567,831600,1910,4.39719,4.55124
2011,8,7839,13718,6425,X,2028,1267,31277,801449,1908,3.90256,4.0822
2011,9,6376,10496,4869,X,1740,1146,24627,781629,1860,3.15073,3.38812
2011,10,5691,8427,3939,X,1421,899,20377,747993,1829,2.72422,2.99142
2011,11,5363,6702,3265,X,1175,804,17309,741807,1823,2.33336,2.61542
2011,12,4400,5489,2551,X,978,613,14031,728883,1790,1.925,2.09065
2011,13,4189,5025,2244,X,877,622,12957,739375,1770,1.75243,1.86146
2011,14,3701,4557,1985,X,747,508,11498,729089,1723,1.57704,1.61377
2011,15,3164,3562,1574,X,641,450,9391,691707,1681,1.35766,1.42199
2011,16,3139,3064,1505,X,559,428,8695,662612,1651,1.31223,1.3382
2011,17,2895,2673,1324,X,555,383,7830,681240,1612,1.14937,1.19995
2011,18,2532,2553,1305,X,524,393,7307,655627,1585,1.11451,1.14889
2011,19,2551,2595,1254,X,485,351,7236,651983,1556,1.10984,1.12194
2011,20,2353,2280,1131,X,461,305,6530,620485,1516,1.0524,1.06712
2011,21,2213,2110,1045,X,405,299,6072,586460,1381,1.03536,1.05058
2011,22,2249,1980,1013,X,397,307,5946,531954,1357,1.11777,1.15203
2011,23,2040,1760,1037,X,432,278,5547,564322,1296,0.982949,0.970975
2011,24,1812,1599,911,X,405,262,4989,539238,1279,0.925194,0.894683
2011,25,1604,1422,870,X,308,244,4448,532356,1251,0.835531,0.843568
2011,26,1472,1462,750,X,324,210,4218,506732,1225,0.832393,0.815409
2011,27,1423,1269,823,X,270,224,4009,468565,1211,0.855591,0.823052
2011,28,1255,1206,756,X,316,188,3721,526346,1220,0.706949,0.674635
2011,29,1243,1184,733,X,259,178,3597,518011,1203,0.694387,0.631883
2011,30,1251,1188,667,X,263,169,3538,514262,1179,0.687976,0.641513
2011,31,1088,1125,635,X,203,151,3202,496632,1175,0.644743,0.529813
2011,32,1207,1223,704,X,231,158,3523,521671,1175,0.67533,0.644089
2011,33,1342,1358,767,X,241,166,3874,531975,1191,0.72823,0.667718
2011,34,1505,1600,814,X,305,220,4444,551005,1195,0.806526,0.705668
2011,35,1528,1781,887,X,308,213,4717,548228,1200,0.860408,0.804155
2011,36,1622,1809,904,X,293,185,4813,514168,1184,0.936075,0.907804
2011,37,1788,2206,1022,X,346,205,5567,575887,1196,0.966683,1.00555
2011,38,1816,2264,1126,X,374,242,5822,584534,1201,0.996007,1.03601
2011,39,2248,2514,1253,X,449,244,6708,605162,1213,1.10846,1.07583
