PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2018,40,1.40915,1.41965,4912,3890,X,6292,1564,1304,17962,2602,1265240
National,X,2018,41,1.3981,1.47352,5339,4050,X,6237,1677,1330,18633,2638,1264522
National,X,2018,42,1.45944,1.58658,5569,4417,X,6711,1759,1403,19859,2613,1251688
National,X,2018,43,1.64212,1.74181,6258,4699,X,7462,1949,1498,21866,2670,1255362
National,X,2018,44,1.77754,1.83999,6867,4728,X,8163,1861,1457,23076,2653,1254138
National,X,2018,45,1.86204,1.92837,7512,4831,X,8379,1895,1456,24073,2659,1248357
National,X,2018,46,1.99006,2.09608,7849,5070,X,8077,2052,1491,24539,2651,1170711
National,X,2018,47,2.24928,2.41198,8621,5026,X,7215,2155,1707,24724,2605,1025048
National,X,2018,48,2.14674,2.2515,8901,6590,X,8757,2827,2086,29161,2648,1295182
National,X,2018,49,2.26517,2.31612,8819,6007,X,9295,2536,1874,28531,2643,1231842
National,X,2018,50,2.64702,2.75458,10213,6887,X,11371,2895,2012,33378,2632,1211729
National,X,2018,51,3.16945,3.22789,11229,7813,X,12539,3283,2445,37309,2535,1155832
National,X,2018,52,3.98104,4.1986,13551,10348,X,11998,4522,3544,43963,2553,1047086
National,X,2019,1,3.46991,3.6475,11667,11395,X,9550,5230,4277,42119,2595,1154737
National,X,2019,2,3.08666,3.15309,9309,10458,X,10890,4893,3463,39013,2620,1237293
National,X,2019,3,3.31026,3.36016,9497,9991,X,13993,4242,2938,40661,2598,1210091
National,X,2019,4,3.77069,3.9007,10525,11150,X,16575,4440,2849,45539,2591,1167458
National,X,2019,5,4.31372,4.58346,11211,12816,X,21532,5049,3196,53804,2484,1173873
National,X,2019,6,4.76853,5.25324,12848,14983,X,27496,5803,3772,64902,2346,1235465
