PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York,2018,40,X,0.964829,X,X,X,X,X,X,623,132,64571
States,New York,2018,41,X,0.981513,X,X,X,X,X,X,661,134,67345
States,New York,2018,42,X,1.1094,X,X,X,X,X,X,706,133,63638
States,New York,2018,43,X,1.13599,X,X,X,X,X,X,700,134,61620
States,New York,2018,44,X,1.27149,X,X,X,X,X,X,786,134,61817
States,New York,2018,45,X,1.09671,X,X,X,X,X,X,710,134,64739
States,New York,2018,46,X,1.13885,X,X,X,X,X,X,657,134,57690
States,New York,2018,47,X,1.34073,X,X,X,X,X,X,742,135,55343
States,New York,2018,48,X,1.31868,X,X,X,X,X,X,828,135,62790
States,New York,2018,49,X,1.46959,X,X,X,X,X,X,892,134,60697
States,New York,2018,50,X,1.95869,X,X,X,X,X,X,1172,132,59836
States,New York,2018,51,X,2.41959,X,X,X,X,X,X,1424,132,58853
States,New York,2018,52,X,3.02337,X,X,X,X,X,X,1757,133,58114
States,New York,2019,1,X,2.79803,X,X,X,X,X,X,1727,134,61722
States,New York,2019,2,X,2.54146,X,X,X,X,X,X,1514,131,59572
States,New York,2019,3,X,3.09061,X,X,X,X,X,X,1820,134,58888
States,New York,2019,4,X,3.50497,X,X,X,X,X,X,2072,131,59116
States,New York,2019,5,X,3.47059,X,X,X,X,X,X,2140,130,61661
States,New York,2019,6,X,3.8746,X,X,X,X,X,X,2625,126,67749
