"","state","freq"
"1","Alabama",17
"2","Alaska",1
"3","Arizona",20
"4","Arkansas",24
"5","California",274
"6","Colorado",17
"7","Connecticut",51
"8","Delaware",7
"9","District of Columbia",38
"10","Florida",54
"11","Georgia",41
"12","Illinois",46
"13","Indiana",46
"14","Iowa",26
"15","Kansas",202
"16","Kentucky",32
"17","Louisiana",60
"18","Maine",13
"19","Maryland",22
"20","Massachusetts",45
"21","Michigan",42
"22","Minnesota",21
"23","Mississippi",4
"24","Missouri",60
"25","Montana",1
"26","Nebraska",10
"27","Nevada",17
"28","New Hampshire",1
"29","New Jersey",41
"30","New Mexico",14
"31","New York",186
"32","North Carolina",67
"33","Ohio",95
"34","Oklahoma",77
"35","Oregon",12
"36","Pennsylvania",95
"37","Rhode Island",3
"38","South Carolina",23
"39","South Dakota",3
"40","Tennessee",47
"41","Texas",185
"42","Utah",6
"43","Vermont",6
"44","Virginia",59
"45","Washington",58
"46","West Virginia",5
"47","Wisconsin",31
"48","Guam",1
"49","Hawaii",2
"50","Idaho",3
"51","Liberty Island",1
"52","North Dakota",5
"53","Puerto Rico",1
