"","x","freq"
"1","Alabama",17
"2","Alaska",1
"3","Arizona",19
"4","Arkansas",17
"5","California",225
"6","Colorado",17
"7","Connecticut",13
"8","Delaware",7
"9","District of Columbia",32
"10","Florida",46
"11","Georgia",37
"12","Illinois",38
"13","Indiana",42
"14","Iowa",22
"15","Kansas",181
"16","Kentucky",29
"17","Louisiana",56
"18","Maine",13
"19","Maryland",17
"20","Massachusetts",42
"21","Michigan",37
"22","Minnesota",18
"23","Mississippi",4
"24","Missouri",52
"25","Montana",1
"26","Nebraska",6
"27","Nevada",15
"28","New Hampshire",1
"29","New Jersey",36
"30","New Mexico",14
"31","New York",166
"32","North Carolina",57
"33","Ohio",77
"34","Oklahoma",69
"35","Oregon",12
"36","Pennsylvania",81
"37","Rhode Island",3
"38","South Carolina",17
"39","South Dakota",3
"40","Tennessee",42
"41","Texas",160
"42","Utah",6
"43","Vermont",6
"44","Virginia",48
"45","Washington",51
"46","West Virginia",5
"47","Wisconsin",27
"48","Guam",1
"49","Hawaii",2
"50","Idaho",3
"51","Liberty Island",1
"52","North Dakota",4
"53","Puerto Rico",1
